"PVWatts: Hourly PV Performance Data"
"Requested Location:","johannesburg south africa"
"Location:","HARARE, ZIMBABWE"
"Lat (deg S):","17.92"
"Long (deg E):","31.13"
"Elev (m):","1503"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","30"
"Array Azimuth (deg):","0"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","1.85"
"Initial Cost","40.00"
"Cost of Electricity Generated by System ($/kWh):","1.88"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","8","7","572","101","17.6","3","350.082","24.601","848.492","812.445"
"4","8","8","790","85","19.4","3","600.304","32.937","1464.389","1409.174"
"4","8","9","713","172","21.3","3","775.936","39.419","1860.627","1790.801"
"4","8","10","565","306","23.1","3","863.684","43.549","2033.494","1956.735"
"4","8","11","475","417","24.3","3.7","923.875","44.834","2161.392","2079.285"
"4","8","12","546","353","25.5","4.3","929.755","45.232","2170.652","2088.151"
"4","8","13","570","301","26.7","5","858.252","43.656","2019.457","1943.274"
"4","8","14","708","175","26.7","4.3","765.384","42.98","1801.522","1733.989"
"4","8","15","778","90","26.8","3.7","584.712","39.91","1374.839","1322.679"
"4","8","16","660","66","26.8","3","337.221","34.787","763.598","729.856"
"4","8","17","224","26","24.6","2.3","71.729","25.88","147.91","128.429"
"4","8","18","0","0","22.4","1.7","0","22.4","0","0"
"4","8","19","0","0","20.2","1","0","20.2","0","0"
"4","8","20","0","0","19.5","1.7","0","19.5","0","0"
"4","8","21","0","0","18.9","2.3","0","18.9","0","0"
"4","8","22","0","0","18.2","3","0","18.2","0","0"
"4","8","23","0","0","17.6","3.3","0","17.6","0","0"
"4","9","0","0","0","17","3.7","0","17","0","0"
"4","9","1","0","0","16.4","4","0","16.4","0","0"
"4","9","2","0","0","15.6","3","0","15.6","0","0"
"4","9","3","0","0","14.9","2","0","14.9","0","0"
"4","9","4","0","0","14.1","1","0","14.1","0","0"
"4","9","5","0","0","13.7","3","0","13.7","0","0"
"4","9","6","224","36","16.4","3","83.868","16.945","186.647","166.395"
"4","9","7","726","57","19.2","3","369.496","26.676","875.43","838.635"
"4","9","8","868","65","20.7","2.8","626.434","35.178","1510.277","1453.461"
"4","9","9","849","113","22.3","2.7","822.679","42.138","1945.052","1871.883"
"4","9","10","765","191","23.8","2.5","938.437","47.24","2167.392","2085.03"
"4","9","11","811","190","24.8","2.3","1026.54","51.12","2323.317","2234.173"
"4","9","12","860","163","25.9","2.2","1045.335","53.157","2340.027","2250.14"
"4","9","13","907","119","26.9","2","974.592","53.18","2180.396","2097.479"
"4","9","14","892","93","26.5","3","817.839","46.281","1891.184","1820.158"
"4","9","15","851","65","26.1","4","599.6","39.276","1412.436","1359.004"
"4","9","16","672","60","25.7","5","335.4","32.063","768.073","734.211"
"4","9","17","153","26","23.5","4.3","58.385","24.086","126.21","107.153"
"4","9","18","0","0","21.3","3.7","0","21.3","0","0"
"4","9","19","0","0","19.1","3","0","19.1","0","0"
"4","9","20","0","0","18.2","3.3","0","18.2","0","0"
"4","9","21","0","0","17.3","3.7","0","17.3","0","0"
"4","9","22","0","0","16.4","4","0","16.4","0","0"
"4","9","23","0","0","15.4","3.7","0","15.4","0","0"
"4","10","0","0","0","14.4","3.3","0","14.4","0","0"
"4","10","1","0","0","13.4","3","0","13.4","0","0"
"4","10","2","0","0","13.6","3","0","13.6","0","0"
"4","10","3","0","0","13.8","3","0","13.8","0","0"
"4","10","4","0","0","14","3","0","14","0","0"
